AÃ±o,Trimestre,Provincia,Mbps (Media de bajada)
2017,2,Capital Federal,8840
2017,2,Catamarca,5100
2017,2,Chaco,7690
2017,2,Chubut,3450
2017,2,CÃ³rdoba,7420
2017,2,Corrientes,6790
2017,2,Entre RÃ­os,6290
2017,2,Formosa,6180
2017,2,Jujuy,4540
2017,2,La Pampa,3320
2017,2,La Rioja,5530
2017,2,Mendoza,3510
2017,2,Misiones,7600
2017,2,NeuquÃ©n,6700
2017,2,RÃ­o Negro,4740
2017,2,Salta,5760
2017,2,San Juan,3490
2017,2,San Luis,3500
2017,2,Santa Cruz,3600
2017,2,Santa Fe,6840
2017,2,Santiago Del Estero,5060
2017,2,Tierra Del Fuego,3480
2017,2,TucumÃ¡n,6090
2017,1,Buenos Aires,6680
2017,1,Capital Federal,8350
2017,1,Catamarca,4970
2017,1,Chaco,7310
2017,1,Chubut,3440
2017,1,CÃ³rdoba,6800
2017,1,Corrientes,6430
2017,1,Entre RÃ­os,5950
2017,1,Formosa,5740
2017,1,Jujuy,4390
2017,1,La Pampa,3220
2017,1,La Rioja,5430
2017,1,Mendoza,3510
2017,1,Misiones,7340
2017,1,NeuquÃ©n,6030
2017,1,RÃ­o Negro,4450
2017,1,Salta,5340
2017,1,San Juan,3490
2017,1,San Luis,3500
2017,1,Santa Cruz,3590
2017,1,Santa Fe,6280
2017,1,Santiago Del Estero,4950
2017,1,Tierra Del Fuego,3480
2017,1,TucumÃ¡n,5880
2016,4,Buenos Aires,6350
2016,4,Capital Federal,7960
2016,4,Catamarca,4890
2016,4,Chaco,7080
2016,4,Chubut,3410
2016,4,CÃ³rdoba,6470
2016,4,Corrientes,6240
2016,4,Entre RÃ­os,5810
2016,4,Formosa,5630
2016,4,Jujuy,4320
2016,4,La Pampa,3190
2016,4,La Rioja,5340
2016,4,Mendoza,3510
2016,4,Misiones,7110
2016,4,NeuquÃ©n,5680
2016,4,RÃ­o Negro,4370
2016,4,Salta,5220
2016,4,San Juan,3490
2016,4,San Luis,3500
2016,4,Santa Cruz,3560
2016,4,Santa Fe,6040
2016,4,Santiago Del Estero,4870
2016,4,Tierra Del Fuego,3480
2016,4,TucumÃ¡n,5730
2016,3,Buenos Aires,5910
2016,3,Capital Federal,7380
2016,3,Catamarca,4730
2016,3,Chaco,6720
2016,3,Chubut,3340
2016,3,CÃ³rdoba,6070
2016,3,Corrientes,5960
2016,3,Entre RÃ­os,5590
2016,3,Formosa,5420
2016,3,Jujuy,4220
2016,3,La Pampa,3140
2016,3,La Rioja,5080
2016,3,Mendoza,3510
2016,3,Misiones,6740
2016,3,NeuquÃ©n,5290
2016,3,RÃ­o Negro,4160
2016,3,Salta,5050
2016,3,San Juan,3490
2016,3,San Luis,3500
2016,3,Santa Cruz,3540
2016,3,Santa Fe,5680
2016,3,Santiago Del Estero,4670
2016,3,Tierra Del Fuego,3480
2016,3,TucumÃ¡n,5540
2016,2,Buenos Aires,5420
2016,2,Capital Federal,6580
2016,2,Catamarca,4360
2016,2,Chaco,6300
2016,2,Chubut,3340
2016,2,CÃ³rdoba,5520
2016,2,Corrientes,5600
2016,2,Entre RÃ­os,5130
2016,2,Formosa,5100
2016,2,Jujuy,3840
2016,2,La Pampa,3150
2016,2,La Rioja,4770
2016,2,Mendoza,3500
2016,2,Misiones,6230
2016,2,NeuquÃ©n,4870
2016,2,RÃ­o Negro,3980
2016,2,Salta,4750
2016,2,San Juan,3490
2016,2,San Luis,3500
2016,2,Santa Cruz,3500
2016,2,Santa Fe,5140
2016,2,Santiago Del Estero,4310
2016,2,Tierra Del Fuego,3480
2016,2,TucumÃ¡n,5200
2016,1,Buenos Aires,4990
2016,1,Capital Federal,6050
2016,1,Catamarca,4200
2016,1,Chaco,5990
2016,1,Chubut,3380
2016,1,CÃ³rdoba,5160
2016,1,Corrientes,5370
2016,1,Entre RÃ­os,5080
2016,1,Formosa,4870
2016,1,Jujuy,3770
2016,1,La Pampa,3050
2016,1,La Rioja,4620
2016,1,Mendoza,3500
2016,1,Misiones,6000
2016,1,NeuquÃ©n,4420
2016,1,RÃ­o Negro,3830
2016,1,Salta,4740
2016,1,San Juan,3490
2016,1,San Luis,3500
2016,1,Santa Cruz,3480
2016,1,Santa Fe,4900
2016,1,Santiago Del Estero,4170
2016,1,Tierra Del Fuego,3480
2016,1,TucumÃ¡n,5000
2015,4,Buenos Aires,4880
2015,4,Capital Federal,5930
2015,4,Catamarca,4120
2015,4,Chaco,5830
2015,4,Chubut,3280
2015,4,CÃ³rdoba,5070
2015,4,Corrientes,5260
2015,4,Entre RÃ­os,5010
2015,4,Formosa,4660
2015,4,Jujuy,3720
2015,4,La Pampa,2940
2015,4,La Rioja,4520
2015,4,Mendoza,3500
2015,4,Misiones,5900
2015,4,NeuquÃ©n,4360
2015,4,RÃ­o Negro,3770
2015,4,Salta,4670
2015,4,San Juan,3480
2015,4,San Luis,3500
2015,4,Santa Cruz,3480
2015,4,Santa Fe,4810
2015,4,Santiago Del Estero,4090
2015,4,Tierra Del Fuego,3470
2015,4,TucumÃ¡n,4880
2015,3,Buenos Aires,4700
2015,3,Capital Federal,5660
2015,3,Catamarca,3880
2015,3,Chaco,5470
2015,3,Chubut,3280
2015,3,CÃ³rdoba,4870
2015,3,Corrientes,5060
2015,3,Entre RÃ­os,4770
2015,3,Formosa,4170
2015,3,Jujuy,3530
2015,3,La Pampa,2910
2015,3,La Rioja,4250
2015,3,Mendoza,3500
2015,3,Misiones,5630
2015,3,NeuquÃ©n,4230
2015,3,RÃ­o Negro,3740
2015,3,Salta,4420
2015,3,San Juan,3480
2015,3,San Luis,3500
2015,3,Santa Cruz,3480
2015,3,Santa Fe,4560
2015,3,Santiago Del Estero,3910
2015,3,Tierra Del Fuego,3480
2015,3,TucumÃ¡n,4570
2015,2,Buenos Aires,4460
2015,2,Capital Federal,5310
2015,2,Catamarca,3680
2015,2,Chaco,5190
2015,2,Chubut,3220
2015,2,CÃ³rdoba,4560
2015,2,Corrientes,4850
